id,direccion,esquina,colonia,alcaldia,boton,altavoz,tipo_de_poste,estatus_conectividad,latitud,longitud,geopoint
0,AV. JUAREZ,ENTRE C. JOSE AZUETA Y C. LUIS MOYA,CENTRO,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.435098,-99.14582,"19.435098,-99.14582"
1,AV. JUAREZ,C. LOPEZ,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.434242,-99.14188,"19.434242,-99.14188"
2,C. REPUBLICA DE GUATEMALA,C. LORETO,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.434369,-99.127634,"19.434369,-99.127634"
3,CALLE 3,EJE 1 PTE. CALZ. VALLEJO,PORVENIR,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.469535,-99.14477,"19.469535,-99.14477"
4,C. PUREPECHA,C. RIO DE LA LAJA,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.548879,-99.159368,"19.548879,-99.159368"
5,C. 16 DE SEPTIEMBRE,ENTRE C. 20 DE NOVIEMBRE Y C. 12 DE OCTUBRE,LOMA DE LA PALMA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.550923,-99.142026,"19.550923,-99.142026"
6,EJE 4 SUR XOLA,EJE 2 PTE. GABRIEL MANCERA,DEL VALLE NORTE,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.396417,-99.161649,"19.396417,-99.161649"
7,C. RIO NILO,ENTRE CDA. RIO NILO Y AV. DE LAS TORRES,LOMAS DE SAN LORENZO,IZTAPALAPA,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.325193,-99.065136,"19.325193,-99.065136"
8,C. ADOLFO LOPEZ MATEOS,ENTRE CDA. 20 NOVIEMBRE Y C. 1 DE MAYO,LOMA DE LA PALMA,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.552849,-99.141538,"19.552849,-99.141538"
9,AV. JALISCO PTE.,C. TLAXCALA,BARRIO SANTA MARTHA,MILPA ALTA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.192596,-99.027833,"19.192596,-99.027833"
10,C. LUIS MOYA,ARTICULO 123,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.432563,-99.14514,"19.432563,-99.14514"
11,AV. CENTENARIO,C. ORIENTE 153,SALVADOR DÍAZ MIRÓN,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.487352,-99.102227,"19.487352,-99.102227"
12,AV. INSURGENTES SUR,ENTRE C. JUVENTINO ROSAS Y C. FRANCIA,FLORIDA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.35744,-99.184096,"19.35744,-99.184096"
13,C. PLAZA DE SAN JUAN,C. AYUNTAMIENTO,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.430521,-99.14365,"19.430521,-99.14365"
14,C. MIGUEL HIDALGO,C. ALBERTO HERRERA,ARAGÓN LA VILLA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.481497,-99.116552,"19.481497,-99.116552"
15,C. ING. BASILIO ROMO ANGUIANO,C. ING. CARLOS DAZA,GUADALUPE INSURGENTES,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.47315,-99.132438,"19.47315,-99.132438"
16,AV. HENRY FORD,C. MARTHA,GUADALUPE TEPEYAC,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.469871,-99.118204,"19.469871,-99.118204"
17,ING. NORBERTO GAYOL,EXCELSIOR,GUADALUPE INSURGENTES,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.474682,-99.130871,"19.474682,-99.130871"
18,AV. 521,3ra. CDA. AV. 515,U. H. SAN JUAN DE ARAGON 1ra. SECC.,GUSTAVO A. MADERO,SIN BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.457976,-99.091869,"19.457976,-99.091869"
19,C. PLAYA,C. NAVE,U. H. PATERA VALLEJO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.503872,-99.155919,"19.503872,-99.155919"
20,C. JAIME NUNO,AVENIDA TECNOLOGICO,ZONA ESCOLAR,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.542676,-99.147149,"19.542676,-99.147149"
21,C. IZTACCIHUATL,C. ITZCOATL,SANTA ISABEL TOLA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.495577,-99.115095,"19.495577,-99.115095"
22,C. BALDERAS,C. AYUNTAMIENTO,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.431178,-99.147999,"19.431178,-99.147999"
23,AV. CANAL DE MIRAMONTES (EJE 2 ORIENTE CANAL DE MIRAMONTES),C. LIRA,PRADOS DE COYOACAN,COYOACAN,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.318667,-99.131078,"19.318667,-99.131078"
24,C. FRANZ HALS,CDA. FRANZ HALS,ALFONSO XIII,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.375965,-99.195758,"19.375965,-99.195758"
25,C. SANTA BALBINA,AV. RIO SANTO DOMINGO,MOLINO DE SANTO DOMINGO,ALVARO OBREGON,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.395326,-99.209462,"19.395326,-99.209462"
26,AV. ESCUADRÓN 201,C. 4,CRISTO REY,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,REPORTE DE FALLA,19.387171,-99.19936,"19.387171,-99.19936"
27,C. MONDOVIES,C. ANTIGUA VIA LA VENTA,ISIDRO FABELA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.385736,-99.209,"19.385736,-99.209"
28,C. TOLUCA,C. TRANSMISIONES,OLIVAR DE LOS PADRES,ALVARO OBREGON,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.340809,-99.209495,"19.340809,-99.209495"
29,C. EMILIANO ZAPATA,C. PARROQUIA,AMPL. TLACOYAQUE,ALVARO OBREGON,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.318284,-99.266557,"19.318284,-99.266557"
30,CALZ. DE TLALPAN,C. RIO  CHURUBUSCO,SAN DIEGO CHURUBUSCO,COYOACAN,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.35633,-99.144346,"19.35633,-99.144346"
31,C. LUDWIC VAN BEETHOVEN,C. ADELINA PATTI,PERALVILLO,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.459666,-99.129435,"19.459666,-99.129435"
32,C. DR. ATL,C. SALVADOR DIAZ MIRON,SANTA MARIA LA RIBERA,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.448676,-99.156388,"19.448676,-99.156388"
33,C. AYUNTAMIENTO,C. LOPEZ,CENTRO,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.430341,-99.14239,"19.430341,-99.14239"
34,C- CITLI,C. HUITZILIHUITL,SANTA ISABEL TOLA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.501386,-99.112376,"19.501386,-99.112376"
35,C. TEPALCATZIN,C. CUAUHTEMOC,SANTA ISABEL TOLA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,REPORTE DE FALLA,19.499019,-99.116509,"19.499019,-99.116509"
36,C. HABANA Y RICARTE,C. FERRERIA,TEPEYAC INSURGENTES,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,REPORTE DE FALLA,19.482346,-99.123175,"19.482346,-99.123175"
37,C. PERIMETRAL,C. PINOS,SAN JERONIMO LIDICE,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.333113,-99.213756,"19.333113,-99.213756"
38,AV. JUAN N. ALVAREZ,C. MIGUEL GARCIA GARCIA,CAMPAMENTO 2 DE OCTUBRE,IZTACALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.38532,-99.113318,"19.38532,-99.113318"
39,CALZ. ALFONSO TORO,C. GRAL. RADAMES GAXIOLA ANDRADE,ESCUADRON 201,IZTAPALAPA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.367055,-99.112829,"19.367055,-99.112829"
40,AVENIDA EJE 3 SUR F.C. DE RIO FRIO,C. ORIENTE 229,C.H. REAL DEL MORAL,IZTAPALAPA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.391457,-99.081948,"19.391457,-99.081948"
41,C. ALDAMA,C. NIÑOS HEROES,SAN JUANICO NEXTIPAC,IZTAPALAPA,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.373471,-99.116918,"19.373471,-99.116918"
42,C. TRABAJADORAS SOCIALES,ENTRE C. MAGISTRADOS Y  C.FISCALES,AMPL. SIFON,IZTAPALAPA,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.373693,-99.113704,"19.373693,-99.113704"
43,C. PALMAS,C. JACARANDAS,EL TORO,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.313648,-99.248303,"19.313648,-99.248303"
44,C. OCOTLAN,AV. SAN BERNABE,BARROS SIERRA,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.317553,-99.247519,"19.317553,-99.247519"
45,AV. OJO DE AGUA,C. CARBONEROS,PUEBLO SAN BERNABE OCOTEPEC,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.309364,-99.263401,"19.309364,-99.263401"
46,AV. CONTRERAS,C. TARASQUILLO,PUENTE SIERRA,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.329562,-99.2126,"19.329562,-99.2126"
47,CTO.  BOSQUE DE CHAPULTEPEC,AV. CONSTITUYENTES,BOSQUE DE CHAPULTEPEC 2A. SECC.,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.411963,-99.198082,"19.411963,-99.198082"
48,AV. PASEO DE LA REFORMA,ENTRE CALZ. CHIVATITO Y CALZ. MAHATMA GHANDI,BOSQUE DE CHAPULTEPEC 1A SECC.,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.424306,-99.181838,"19.424306,-99.181838"
49,AV. CONSTITUYENTES,C. JOSE MARIA VELASCO,BOSQUE DE CHAPULTEPEC 3a. SECC.,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.398587,-99.21892,"19.398587,-99.21892"
50,C. ESQUIROS,C. ALDAMA,AMPL. COSMOPOLITA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.472696,-99.160461,"19.472696,-99.160461"
51,C. LA CAPA,C. FRANCISCO I. MADERO,MIGUEL HIDALGO,TLAHUAC,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.288735,-99.046655,"19.288735,-99.046655"
52,ANILLO PERIFERICO BLVD. ADOLFO RUIZ CORTINES,ENTRADA AL PARQUE ECOLOGICO DE XOCHIMILCO,BARRIO 18,XOCHIMILCO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.297505,-99.094737,"19.297505,-99.094737"
53,PROL. 2 DE ABRIL,PRIVADA PROL. 2 DE ABRIL,PUEBLO SANTA CRUZ ACALPIXCA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,FALLAS DE INFRAESTRUCTURA,19.242257,-99.071429,"19.242257,-99.071429"
54,PROL. DIVISION DEL NORTE,AVENIDA PASEO DE LA NORIA,POTRERO DE SAN BERNARDINO,XOCHIMILCO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.273812,-99.119905,"19.273812,-99.119905"
55,AV. INSURGENTES SUR,C. CALVARIO,TLALPAN CENTRO,TLALPAN,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.288648,-99.17426,"19.288648,-99.17426"
56,AVENIDA PIEDRA PALMEADA,2do. AND. P. PALMEADA,AMPL. ISIDRO FABELA,TLALPAN,CON BOTON,CON ALTAVOZ,9m,REPORTE DE FALLA,19.298474,-99.169688,"19.298474,-99.169688"
57,C. DILIGENCIAS,C. LAUREL,C. SAN PEDRO MARTIR,TLALPAN,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.267622,-99.169777,"19.267622,-99.169777"
58,C. NIÑOS HEROES,AV. MIGUEL HIDALGO,PUEBLO SAN MATEO XALPA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.23211,-99.119303,"19.23211,-99.119303"
59,C. 1ro DE NOVIEMBRE,INFORME DE GOBIERNO,LA CONCHITA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.391904,-99.207394,"19.391904,-99.207394"
60,ENTRE EDIF. G-14 Y ESC. JOSE AGUSTIN RAMIREZ ALTAMIRANO,ENTRE EDIF G-13 Y EDIF. G-14,U. H. IMSS SANTA FE,ALVARO OBREGON,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.388675,-99.207875,"19.388675,-99.207875"
61,C. AUSTRIACOS,C. POLVORA,LIBERALES DE 1857,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.39219,-99.212674,"19.39219,-99.212674"
62,C. DE LA PLATA,C. PARALELA 7,U. H. MOLINO DE SANTO DOMINGO,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.39448,-99.203597,"19.39448,-99.203597"
63,AV. MEXICANOS,C. BOLIVIANOS,MARIA DE GARCIA RUIZ,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.387548,-99.211438,"19.387548,-99.211438"
64,C. JACARANDA,AV. DE LAS ROSAS,BELEN DE LAS FLORES,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.393993,-99.218367,"19.393993,-99.218367"
65,AND. LA QUEBRADA,AV. BENITO JUAREZ,BARRIO NORTE,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.378819,-99.209376,"19.378819,-99.209376"
66,C. FRANCISCO P. MIRANDA,BLVD. ALTA TENSION,LOMAS DE PLATEROS,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.366752,-99.203834,"19.366752,-99.203834"
67,C. 30,AV. HIDALGO,OLIVAR DEL CONDE 2da SECC.,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.371101,-99.219804,"19.371101,-99.219804"
68,CAMINO RIO MIXCOAC,,REACOMODO REAL DEL CONDE,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.368605,-99.208945,"19.368605,-99.208945"
69,C. ALTO LERMA,CDA. SANTA MONICA,CORPUS CHRISTI (ZONA RUSTICA),ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,REPORTE DE FALLA,19.36165,-99.245669,"19.36165,-99.245669"
70,AV. MIGUEL HIDALGO,C. 36,OLIVAR DEL CONDE 2da SECC.,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.370282,-99.223321,"19.370282,-99.223321"
71,C. DR. GALVEZ,AV. REVOLUCION,SAN ANGEL,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.343718,-99.190521,"19.343718,-99.190521"
72,AV. LOMAS DE CAPULA,C. GOLONDRINA VIAJERA,LAS GOLONDRINAS 1RA SECCION,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.38036,-99.210105,"19.38036,-99.210105"
73,C. URRACA,C. ALBATROS,AVE REAL,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.359702,-99.23705,"19.359702,-99.23705"
74,AV. TAMAULIPAS,C. MOCTEZUMA,CORPUS CHRISTI,ALVARO OBREGON,CON BOTON,SIN ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.361287,-99.250892,"19.361287,-99.250892"
75,AV. GUSTAVO DIAZ ORDAZ,PRIV. G. DIAZ ORDAZ,AMPLIACION JALALPA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.375691,-99.233879,"19.375691,-99.233879"
76,C. HACIENDA DE LA FLOR,C. HACIENDA DE LA GAVIA,AMPL. PRESIDENTES 2a. SECC.,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.3727,-99.229648,"19.3727,-99.229648"
77,C. GUTIERREZ ZAMORA,C. REMOLINO,LOS ALPES,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.358848,-99.210541,"19.358848,-99.210541"
78,C. BALCON,C. MIRADOR,EL MIRADOR,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.343211,-99.22681,"19.343211,-99.22681"
79,C. ORQUIDEAS,ENTRE AV. TORRES Y AV. ROSAS,TORRES DE POTRERO,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.332478,-99.249014,"19.332478,-99.249014"
80,C. PORVENIR,ENTRE C. ALUMNOS Y C. HIDALGO,PUEBLO AXOTLA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.356708,-99.174375,"19.356708,-99.174375"
81,C. LA PAZ,AV. REVOLUCION,SAN ANGEL,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.346475,-99.189729,"19.346475,-99.189729"
82,C. MIRAMON,C. BENITO JUAREZ,SAN ANGEL,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.344943,-99.193376,"19.344943,-99.193376"
83,AV. MEXICO,C. VERACRUZ,PROGRESO,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.341185,-99.19967,"19.341185,-99.19967"
84,C. NORTE 35,C. PONIENTE 128,PUEBLO SAN ANDRES DE LAS SALINAS,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.489464,-99.155213,"19.489464,-99.155213"
85,C. OSA MAYOR,C. OSA MAYOR,U. HAB. EL ROSARIO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.506636,-99.207916,"19.506636,-99.207916"
86,C. VICTOR HERNANDEZ,C. DOROTEO ARANGO,U. HAB. FRANCISCO VILLA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.497272,-99.203225,"19.497272,-99.203225"
87,C. MERCADERES,AV. DE LAS CULTURAS,AZCAPOTZALCO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.509873,-99.20353,"19.509873,-99.20353"
88,C. FEDERICO DAVALOS,C. PUENTE DE GUERRA,U. HAB. PRESIDENTE MADERO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.493396,-99.200691,"19.493396,-99.200691"
89,CAMPO MOLOACAN,AND. CAMPO MOLOACAN,PUEBLO SAN ANDRES,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.493811,-99.185346,"19.493811,-99.185346"
90,C. NORTE 59,EJE 5 NORTE PONIENTE 140,INDUSTRIAL VALLEJO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.497388,-99.164815,"19.497388,-99.164815"
91,PRIV. 3 AQUILES SERDAN,PRIV. AQUILES SERDAN,SANTO DOMINGO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.488591,-99.190886,"19.488591,-99.190886"
92,AV. NUEVO LEON,C. PARRAS,HIPODROMO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.41475,-99.170677,"19.41475,-99.170677"
93,FLORESTA,AV. HELIOPOLIS,CLAVERIA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.469268,-99.186301,"19.469268,-99.186301"
94,EJE 3 NORTE AV CUITLAHUAC,C. 10,AGUILERA,AZCAPOTZALCO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.473514,-99.156191,"19.473514,-99.156191"
95,C. CAMINO DEL RECREO,2A PRIV. C. DEL RECREO,DEL RECREO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.475537,-99.185014,"19.475537,-99.185014"
96,AV. AZCAPOTZALCO,C. OTOÑO,ANGEL ZIMBRON,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.467624,-99.187714,"19.467624,-99.187714"
97,C. MARAVATIO,C. NILO,CLAVERIA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.46703,-99.179616,"19.46703,-99.179616"
98,C. TOTONACAS,C. TRIQUIS,TEZOZOMOC,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.491049,-99.199312,"19.491049,-99.199312"
99,C. AMADO NERVO,C. REY MAXTLA,PUEBLO SAN FRANCISCO TETECALA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.479509,-99.192401,"19.479509,-99.192401"
100,C. FELIPE ANGELES,C. FRANCISCO SARABIA,PROVIDENCIA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.490797,-99.212351,"19.490797,-99.212351"
101,C. JICAMA,C. BOLDO,VICTORIA DE LAS DEMOCRACIAS,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.464725,-99.163003,"19.464725,-99.163003"
102,C. POMARROSA,C. BEGONIAS,NUEVA SANTA MARIA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.464231,-99.172092,"19.464231,-99.172092"
103,AV. TLATILCO,C. VERBENA,TLATILCO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.461636,-99.163362,"19.461636,-99.163362"
104,C. DEMOCRACIA,C. SANTA LUCIA,PUEBLO SAN MIGUEL AMANTLA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.472442,-99.205066,"19.472442,-99.205066"
105,CDA. DE CECATI,CDA. DE CECATI,BARRIO SANTO TOMAS,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.487263,-99.175878,"19.487263,-99.175878"
106,C. RABAUL,C. NORTE 89,SINDICATO MEXICANO DE ELECTRICISTAS,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.476065,-99.179322,"19.476065,-99.179322"
107,AV. MICHOACAN,C. ATLIXCO,CONDESA,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.411512,-99.175421,"19.411512,-99.175421"
108,CALZ. AZCAPOTZALCO LA VILLA,ENTRE C. CASTILLA ORIENTE Y TREBOL,SANTO TOMAS,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,REPORTE DE FALLA,19.485144,-99.180552,"19.485144,-99.180552"
109,C. SAN FRANCISCO XOCOTITLA,CDA. JORULLO,DEL GAS,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.469673,-99.157253,"19.469673,-99.157253"
110,C. CENTRAL SUR,C. 19,PRO HOGAR,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.474873,-99.150546,"19.474873,-99.150546"
111,AV. 2,C. 3,SAN PEDRO DE LOS PINOS,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.394514,-99.18353,"19.394514,-99.18353"
112,C. DONATELLO,C. FRAGONARD,INSURGENTES MIXCOAC,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.374793,-99.184672,"19.374793,-99.184672"
113,EJE 4 SUR XOLA,C. MIER Y PESADO,DEL VALLE NORTE,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.397053,-99.164627,"19.397053,-99.164627"
114,CTO. INTERIOR REVOLUCION,CALLE 21,SAN PEDRO DE LOS PINOS,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.387753,-99.186051,"19.387753,-99.186051"
115,C. REEMOLSOS,C. UNION POSTAL,POSTAL,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.391017,-99.140888,"19.391017,-99.140888"
116,C. MITLA,EJE 6 SUR ANGEL URRAZA,INDEPENDENCIA,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.379709,-99.151305,"19.379709,-99.151305"
117,C. ENRIQUE REBSAMEN,AV. OBRERO MUNDIAL,PIEDAD NARVARTE,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.401338,-99.158565,"19.401338,-99.158565"
