id,direccion,esquina,colonia,alcaldia,boton,altavoz,tipo_de_poste,estatus_conectividad,latitud,longitud,geopoint
6568,AV. RICARDO FLORES MAGON,EJE 1 PONIENTE GUERRERO,GUERRERO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.452294,-99.145748,"19.452294,-99.145748"
6569,C. DR. ANDRADE,AV. DR. I. MORONES PRIETO,DOCTORES,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.407044,-99.14799,"19.407044,-99.14799"
6570,C. REPUBLICA DE BOLIVIA,ENTRE C. REPUBLICA DE ARGENTINA Y C. REPUBLICA DE BRASIL,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.43926,-99.131317,"19.43926,-99.131317"
6571,AV. JOSE VASCONCELOS,ENTRE GOB. IGNACIO ESTEVA Y GRAL. JOSE MORAN,SAN MIGUEL CHAPULTEPEC,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.409408,-99.183676,"19.409408,-99.183676"
6572,1a. C. DEL MIRTO,4a C. DEL FRESNO,SANTA MARIA LA RIBERA,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.448321,-99.161306,"19.448321,-99.161306"
6573,CDA. DE FRAY SERVANDO TERESA DE MIER,ENTRE CJON. SANTA CRUZ ACATLAN Y AV. SAN ANTONIO ABAD,TRANSITO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.420587,-99.133057,"19.420587,-99.133057"
6574,EJE 2 NORTE MANUEL GONZALEZ,ENTRE AV. INSURGENTES Y EJE 1 PTE. GUERRERO,U. H. NONOALCO TLATELOLCO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.456287,-99.146567,"19.456287,-99.146567"
6575,C. REGINA,AV. JOSE MA. PINO SUAREZ,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.427387,-99.13301,"19.427387,-99.13301"
6576,AV. COMONFORT,C. JAIME NUNO,MORELOS,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.445159,-99.135158,"19.445159,-99.135158"
6577,C. DR. JIMENEZ,C. DR. VELASCO,DOCTORES,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.41918,-99.14879,"19.41918,-99.14879"
6578,C. CORREGIDORA,C. ALHONDIGA,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.431121,-99.127272,"19.431121,-99.127272"
6579,C. BOLIVAR,C. FERNANDO RAMIREZ,OBRERA,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.413139,-99.141246,"19.413139,-99.141246"
6580,AV. CHAPULTEPEC,ENTRE C. MERIDA Y C. CORDOBA,ROMA NORTE,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.424453,-99.158812,"19.424453,-99.158812"
6581,AV. MANUEL GONZALEZ,AV. PASEO DE LA REFORMA,U. H. NONOALCO TLATELOLCO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.452676,-99.131419,"19.452676,-99.131419"
6582,PASEO DE LA REFORMA,ENTRE C. LAFRAGUA Y AVENIDA DE LA REPUBLICA,TABACALERA,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.434576,-99.151867,"19.434576,-99.151867"
6583,REPÚBLICA DE GUATEMALA,C. LEONA VICARIO,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.434161,-99.126805,"19.434161,-99.126805"
6584,C. JUAN DE DIOS PEZA,AV. 5 DE FEBRERO,OBRERA,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.413297,-99.1369,"19.413297,-99.1369"
6585,AV. COMONFORT,C. GONZALEZ BOCANEGRA,MORELOS,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.446194,-99.135052,"19.446194,-99.135052"
6586,AV. RIO DE LA LOZA,ENTRE AV. NIÑOS HEROES Y C. DR. JIMENEZ,DOCTORES,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.425227,-99.148187,"19.425227,-99.148187"
6587,CALZ. VALLEJO,C. ENRIQUE GRANADOS,EX HIPODROMO DE PERALVILLO,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.457424,-99.138692,"19.457424,-99.138692"
6588,SANTA LUCIA,RIVERO,MORELOS,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.448526,-99.131269,"19.448526,-99.131269"
6589,CALZ. VALLEJO (C. ERNESTO ELORDUY),CALZ. SAN SIMON (C. ROSSINI),EX HIPODROMO DE PERALVILLO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.458185,-99.139319,"19.458185,-99.139319"
6590,MONTERREY,C. TEHUANTEPEC,ROMA SUR,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.40527,-99.161008,"19.40527,-99.161008"
6591,PLAZA TORRES QUINTERO,ENTRE JOSÉ JOAQUÍN HERRERA Y C. PEÑA Y PEÑA,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.439312,-99.126775,"19.439312,-99.126775"
6592,EJE 2 NORTE MANUEL GONZALEZ,ENTRE EJE CENTRAL LAZARO CARDENAS Y PASEO DE LA REFORMA,U. H. NONOALCO TLATELOLCO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.454217,-99.136946,"19.454217,-99.136946"
6593,C. PERALVILLO,ENTRE PLAZA SANTA ANA Y C. MATAMOROS,MORELOS,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.446914,-99.1327,"19.446914,-99.1327"
6594,AV. RHIN,C. RÍO PAPALOAPAN,CUAUHTEMOC,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.429903,-99.164392,"19.429903,-99.164392"
6595,EJE CENTRAL LAZARO CARDENAS,C. FRAY JUAN DE TORQUEMADA,OBRERA,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.408392,-99.144385,"19.408392,-99.144385"
6596,EJE 2-A SUR SAN LUIS POTOSI,ENTRE C. ORIZABA Y C. JALAPA,ROMA NORTE,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.414208,-99.159266,"19.414208,-99.159266"
6597,C. 11,AV. EMILIANO ZAPATA,ZONA ESCOLAR ORIENTE,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.536431,-99.142214,"19.536431,-99.142214"
6598,MANUEL M. FLORES,AV. EVA SAMANO DE LÓPEZ MATEOS,AMPLIACION GABRIEL HERNANDEZ,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.504895,-99.099363,"19.504895,-99.099363"
6599,C. JUAN FRANCISCO,C. PUERTO ENSENADA,PUEBLO DE SAN JUAN DE ARAGON,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.472516,-99.086914,"19.472516,-99.086914"
6600,C. 1,C. 28-A,SAN JOSE DE LA ESCALERA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.524272,-99.163872,"19.524272,-99.163872"
6601,AV. LAZARO CARDENAS,1RA. PRV. LAZARO CARDENAS,CUAUTEPEC DE MADERO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.541588,-99.140695,"19.541588,-99.140695"
6602,AV. ACUEDUCTO DE GUADALUPE,C. MARACAIBO,SAN PEDRO ZACATENCO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.506052,-99.122232,"19.506052,-99.122232"
6603,AV. 412 A,C. 1513,U. H. SAN JUAN DE ARGON VI SECCION,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.466871,-99.068864,"19.466871,-99.068864"
6604,AV. DE LA CIMA,C. RIO SAN JAVIER,FRACC. ACUEDUCTO DE GUADALUPE,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.524804,-99.145864,"19.524804,-99.145864"
